kod,sehir
IST,İstanbul Havalimanı
SAW,İstanbul (Sabiha Gökçen)
ADB,İzmir
AYT,Antalya
ESB,Ankara (Esenboğa)
LHR,Londra (Heathrow)
JFK,New York (John F. Kennedy)
